h_nb_victories_total,h_nb_draws_total,h_season_points,h_nb_games_total,h_nb_games_home,h_nb_victories_home,h_nb_draws_home,h_nb_defeats_home,h_nb_goals_scored_home,h_mean_nb_goals_scored_home,h_nb_goals_conceded_home,h_mean_nb_goals_conceded_home,h_last_n_games_points_home,h_season_wages,a_nb_victories_total,a_nb_draws_total,a_season_points,a_nb_games_total,a_nb_games_away,a_nb_victories_away,a_nb_draws_away,a_nb_defeats_away,a_nb_goals_scored_away,a_mean_nb_goals_scored_away,a_nb_goals_conceded_away,a_mean_nb_goals_conceded_away,a_last_n_games_points,a_season_wages,home_win
1.0,1.0,4.0,3.0,2.0,1.0,1.0,0.0,4.0,2.0,1.0,0.5,4.0,80.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,13.0,1
1.0,2.0,5.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,133.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,22.4,0
0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,0.0,39.1,1.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,48.5,0
1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,1.3333333333333333,7.0,2.3333333333333335,4.0,54.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.5,0
1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,38.3,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.5,3.0,1.5,1.0,45.0,1
1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,174.7,1.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,131.0,1
2.0,1.0,7.0,4.0,3.0,2.0,1.0,0.0,9.0,3.0,2.0,0.6666666666666666,7.0,80.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,39.1,0
1.0,1.0,4.0,3.0,2.0,1.0,1.0,0.0,3.0,1.5,1.0,0.5,4.0,47.0,1.0,3.0,6.0,4.0,2.0,0.0,2.0,0.0,1.0,0.5,1.0,0.5,2.0,133.0,0
0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,13.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,0.6666666666666666,5.0,1.6666666666666667,1.0,54.0,0
2.0,0.0,6.0,3.0,2.0,2.0,0.0,0.0,3.0,1.5,0.0,0.0,6.0,174.7,2.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,38.3,1
1.0,2.0,5.0,3.0,2.0,0.0,2.0,0.0,3.0,1.5,3.0,1.5,2.0,54.5,3.0,0.0,9.0,3.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,3.0,110.0,0
2.0,0.0,6.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,5.0,3.0,2.0,0.0,2.0,0.0,3.0,1.5,3.0,1.5,2.0,48.5,0
0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,1.0,4.0,3.0,2.0,0.0,1.0,0.0,3.0,1.5,5.0,2.5,1.0,22.4,1
1.0,0.0,3.0,3.0,3.0,1.0,0.0,2.0,3.0,1.0,6.0,2.0,3.0,29.9,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0
1.0,2.0,5.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,66.6,0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,120.3,1
1.0,1.0,4.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,131.0,1.0,1.0,4.0,3.0,2.0,1.0,0.0,0.0,4.0,2.0,4.0,2.0,3.0,38.0,1
1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,3.0,0.0,9.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,174.7,0
1.0,1.0,4.0,4.0,2.0,0.0,1.0,1.0,3.0,1.5,4.0,2.0,1.0,39.1,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,0
0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.3,1.0,1.0,4.0,4.0,3.0,0.0,1.0,0.0,2.0,0.6666666666666666,5.0,1.6666666666666667,1.0,45.0,1
